Name	Set	ImageFile	Type	Base Class	Top Class	Skill Type	Tier	Health	Cost	Text
Assassin	Set1	AssassinClass,AssassinSkulkingSpirit	Class	Rogue			2	20		Ability (2 AP) : Deal 2 damage to an enemy Hero, and give them (Poison 1) or (Bleed 1) // Spirit Ability (Discard 2 orange skills) : Deal 2 damage to an enemy Hero, and give them (Poison 1) or (Bleed 1)
Chronomancer	Set1	ChonomancerClass,ChronomancerEternalSpirit	Class	Mage			3	20		Ability (2 AP) : Give an enemy Hero (Daze 3). // Spirit Ability (Discard 3 blue skills) : Give an enemy Hero (Daze 3).
Cryomancer	Set1	CryomancerClass,CryomancerChillingSpirit	Class	Mage			2	20		Ability (2AP) : Deal 1 damage to an enemy Hero and Freeze it. // Spirit Ability (Discard 2 blue skills) : Deal 1 damage to an enemy Hero and Freeze it.
Electromancer	Set1	ElectromancerClass,ElectromancerEnergizedSpirit	Class	Mage			2	20		Ability (2AP) : Deal 1 damage twice to all enemy characters. // Spirit Ability (Discard 2 blue skills) : Deal 1 damage twice to 2 enemy characters.
Mage	Set1	MageClass,MageMysticSpirit	Class	Mage			1	20		Ability (1AP) : Deal 1 damage each to up to 2 enemy characters. // Spirit Ability (Discard 2 blue skills) : Deal 1 damage to up to 2 enemy characters.
Pyromancer	Set1	PyromancerClass,PyromancerBlazingSpirit	Class	Mage			2	20		Ability (2AP) : Deal 4 damage, divided as you choose amongst 2 or more enemy characters (max 2 damage per character). // Spirit Ability (Discard 2 blue skills) : Deal 4 damage, divided as you choose amongst 2 or more enemy characters (max 2 damage per character).
Rogue	Set1	RogueClass,RogueMischeviousSpirit	Class	Rogue			1	20		Ability (1AP) : Draw 1 card, then discard 1 card. // Spirit Ability (Discard 1 orange skill):  Draw 1 card, then discard 1 card.
Saboteur	Set1	SaboteurClass,SaboteurDeviousSpirit	Class	Rogue			2	20		Ability (2AP) : Enrage an enemy Hero and give it (Daze 1). // Spirit Ability (Discard 2 orange skills): Enrage an enemy Hero and give it (Daze 1).
TreasureHunter	Set1	THClass,THAvariciousSpirit	Class	Rogue			3	20		Ability (2AP) : Discard 1 card, then draw 3 cards. // Spirit Ability (Discard 3 orange skills) : Discard 1 card, then draw 3 cards.
Thief	Set1	ThiefClass,ThiefLootingSpirit	Class	Rogue			2	20		Ability (2 AP) : Draw 1 card, then your opponent discards 1 card. // Spirit Ability (Discard 2 orange skills) : Draw 1 card, then your opponent discards 1 card. 
Arcane Rift	Set1	ArcaneRiftMage	Skill	Mage	Mage	Normal	1		2	Deal 1 damage to each enemy Hero. This skill ignores Armor.
Backfire	Set1	BackfirePyro	Skill	Mage	Pyromancer	Quick	2		1	Deal 2 damage to a character using a non-damaging skill or ability
Bolts Of Wisdom	Set1	BoltsOfWisdomMage	Skill	Mage	Mage	Normal	1		3	Deal 2 damage to an enemy character. You may also deal 2 damage to another character for each Tier level this Mage has. 
Bury In Riches	Set1	BuryInRichesTH	Skill	Rogue	Treasure Hunter	Normal	3		3	Deal damage to an enemy Hero equal to the nuber of cards in your hand minus 1. 
Cash-cade	Set1	CashcadeRogue	Skill	Rogue	Rogue	Normal	1		4	Draw 2 cards. If the Rogue using this skill has used exactly 3 other skills this turn, reduce the cost of this skill by 4 AP.
Change Destiny	Set1	ChangeDestinyChrono	Skill	Mage	Chronomancer	Normal	3		1	Look at the top 6 cards of either player's deck, then return them in any order you choose. 
Conjure Fire Elemental	Set1	ConjureFireElementalPyro	Skill	Mage	Pyromancer	Normal	2		2	Create a 1/1  fire Elemental summon with This summon deals damage to every enemy Hero when attacking. Cannot attack other summons.
Conjure Ice Elemental	Set1	ConjureIceElementalCryo	Skill	Mage	Cryomancer	Normal	2		2	Create a 2/1 Ice Elemental summon with Freeze Heroes damaged by this summon.
Conjure Spark Elemental	Set1	ConjureSparkElementalElectro	Skill	Mage	Electromancer	Normal	2		2	Create a 1/1 Spark Elemental summon with This summon can attack 3 times per turn before becoming exhausted.
Daring Caper	Set1	DaringCaperThief	Skill	Rogue	Thief	Normal	2		3	Deal 7 damage to an enemy Hero. Your opponent may discard any number or cards and/or send any number of cards from the top of their deck to the discard pile to prevent 1 damage for each card they discarded or sent to the discard pile.
Deja vu	Set1	DejaVuChrono	Skill	Mage	Chronomancer	Quick	3		0	Select an allied Hero that has used a skill this turn. That Hero uses a copy of the last skill they used. Pay any AP cost that skill has with AP from this Chronomancer.
Eliminate	Set1	EliminateAssassin	Skill	Rogue	Assassin	Normal	2		2	Deal 3 damage to an enemy Hero, or destroy a Summon.
Excavate	Set1	ExcavateTH	Skill	Rogue	Treasure Hunter	Normal	3		3	Add 1 skill from your discard pile to your hand.
Final Breath	Set1	FinalBreathAssassin	Skill	Rogue	Assassin	Normal	2		3	Deal 1 damage to an enemy Hero. If that Hero is reduced to 0 HP by this skill, Obliterate that Hero instead of killing them.
Flashbang	Set1	FlashbangRogue	Skill	Rogue	Rogue	Normal	1		1	Give 1 enemy Hero (Daze 1).
Frost Wall	Set1	FrostWallCryo	Skill	Mage	Cryomancer	Quick	2		2	Reduce the damage of a skill or ability that would deal damage to 2 or more allied Heroes by 2.
Glacial Crash	Set1	GlacialCrashCryo	Skill	Mage	Cryomancer	Normal	2		2	Deal 1 damage to an enemy character. If that character is a Frozen Hero, deal 2 additional damage, give that Hero (Daze 2), then that Hero is no longer Frozen.
Idol of the Emerald Toad	Set1	IdolEmeraldToadTH	Skill	Rogue	Treasure Hunter	Idol	3		1	Your deck may only contain 1 Idol of the Emerald Toad. Heal 2 damage from each allied Hero. If this is the sixth idol skill this Treasure Hunter has used this turn, you win the game.
Idol of the Ivory Lion	Set1	IdolIvoryLionTH	Skill	Rogue	Treasure Hunter	Idol	3		1	Your deck may only contain 1 Idol of the Ivory Lion. Deal 2 to each enemy character. If this is the sixth Idol skill this Treasure Hunter has used this turn, you win the game. 
Idol of the Onyx Dragon	Set1	IdolOnyxDragonTH	Skill	Rogue	Treasure Hunter	Idol	3		1	Your deck may only contain 1 Idol of the Onyx Dragon. Your opponent discards 2 cards. If this is the sixth idol skill this Treasure Hunter has used this turn, you win the game.
